coupon_id,productCategory_id
3,18+
3,Kids
3,Teens
5,Kids
5,Teens
6,18+
6,Kids
6,Teens
9,18+
9,Kids
9,Teens
11,Kids
11,Teens
13,18+
13,Kids
13,Teens
14,18+
14,Kids
14,Teens
18,18+
18,Kids
18,Teens
19,Kids
19,Teens
20,18+
20,Kids
20,Teens
21,18+
21,Kids
21,Teens
22,18+
22,Teens
23,18+
23,Kids
23,Teens
24,Kids
24,Teens
26,Kids
26,Teens
35,Kids
35,Teens
37,18+
37,Kids
37,Teens
42,Kids
42,Teens
44,18+
44,Kids
44,Teens
46,Kids
46,Teens
47,18+
47,Kids
47,Teens
48,Kids
48,Teens
49,Kids
49,Teens
50,Kids
50,Teens
51,Kids
51,Teens
52,18+
52,Kids
52,Teens
54,Kids
54,Teens
56,Kids
56,Teens
57,Kids
57,Teens
61,Kids
61,Teens
63,18+
63,Kids
63,Teens
83,Kids
83,Teens
88,18+
88,Kids
88,Teens
108,18+
108,Teens
127,18+
127,Kids
127,Teens
149,Kids
149,Teens
155,18+
155,Kids
155,Teens
156,18+
156,Kids
156,Teens
161,18+
161,Kids
161,Teens
162,18+
162,Kids
162,Teens
166,Kids
166,Teens
168,18+
168,Kids
168,Teens
169,18+
169,Kids
169,Teens
170,Kids
170,Teens
172,Kids
172,Teens
176,18+
176,Kids
176,Teens
177,Kids
177,Teens
178,Kids
178,Teens
185,18+
185,Kids
185,Teens
187,18+
187,Kids
187,Teens
191,Kids
191,Teens
192,Kids
192,Teens
194,18+
194,Kids
194,Teens
195,18+
195,Kids
195,Teens
197,18+
197,Kids
197,Teens
201,18+
201,Kids
201,Teens
202,18+
202,Kids
202,Teens
214,18+
214,Kids
214,Teens
215,Kids
215,Teens
218,Kids
218,Teens
224,Kids
224,Teens
226,Kids
226,Teens
231,18+
231,Kids
231,Teens
232,18+
232,Kids
232,Teens
233,18+
233,Kids
233,Teens
236,Kids
236,Teens
237,Kids
237,Teens
246,18+
246,Kids
246,Teens
247,18+
247,Kids
247,Teens
248,18+
248,Kids
248,Teens
249,18+
249,Kids
249,Teens
250,Kids
250,Teens
251,18+
251,Kids
251,Teens
253,Kids
253,Teens
262,18+
262,Kids
262,Teens
263,18+
263,Kids
263,Teens
264,18+
264,Kids
264,Teens
266,Kids
266,Teens
268,Kids
268,Teens
271,18+
271,Kids
271,Teens
274,Kids
274,Teens
278,Kids
278,Teens
287,Kids
287,Teens
288,18+
288,Teens
302,Kids
302,Teens
306,Kids
306,Teens
307,18+
307,Teens
308,Kids
308,Teens
309,Kids
309,Teens
312,18+
312,Teens
313,Kids
313,Teens
318,Kids
318,Teens
319,Kids
319,Teens
324,18+
324,Teens
656,Kids
656,Teens
657,Kids
657,Teens
663,18+
663,Teens
7446,Kids
7446,Teens
